Times,OperatingNodes,DeadNodes,EnergyConsumed
1,10,0,7.4
2,10,0,7.4
3,10,0,7.4
4,10,0,7.4
5,10,0,7.4
6,10,0,7.4
7,10,0,7.4
8,10,0,7.6
9,10,0,7.4
10,10,0,7.4
11,10,0,7.4
12,10,0,7.4
13,10,0,7.4
14,10,0,7.4
15,10,0,7.4
16,10,0,7.4
17,10,0,7.2
18,10,0,7.4
19,10,0,7.4
20,10,0,7.2
21,10,0,7.2
22,10,0,7.4
23,10,0,7.4
24,10,0,7.4
25,10,0,7.4
26,10,0,7.2
27,10,0,7.4
28,10,0,7.2
29,10,0,7.4
30,10,0,7.6
31,10,0,7.6
32,10,0,7.4
33,10,0,7.2
34,10,0,7.2
35,10,0,7.2
36,10,0,7.2
37,10,0,7.2
38,10,0,7.2
39,10,0,7.4
40,10,0,7.2
41,10,0,7.4
42,10,0,7.2
43,10,0,7.2
44,10,0,7.2
45,10,0,7.4
46,10,0,7.2
47,10,0,7.2
48,10,0,7.4
49,10,0,7.2
50,10,0,7.4
51,10,0,7.2
52,10,0,7.2
53,10,0,7.4
54,10,0,7.2
55,10,0,7.4
56,10,0,7.2
57,10,0,7.2
58,10,0,7.2
59,10,0,7.2
60,10,0,7.2
61,10,0,7.2
62,10,0,7.2
63,10,0,7.2
64,10,0,7.2
65,10,0,7.2
66,10,0,7.2
67,10,0,7.2
68,10,0,7.2
69,10,0,7.2
70,10,0,7.2
71,10,0,7.2
72,10,0,7.2
73,10,0,7.2
74,10,0,7.2
75,10,0,7.2
76,10,0,7.2
77,10,0,7.2
78,10,0,7.2
79,10,0,7.2
80,10,0,7.2
81,10,0,7.2
82,10,0,7.2
83,10,0,7.2
84,10,0,7.2
85,10,0,7.2
86,10,0,7.2
87,10,0,7.2
88,10,0,7.2
89,10,0,7.2
90,10,0,7.2
91,10,0,7.2
92,10,0,7.2
93,10,0,7.2
94,10,0,7.2
95,10,0,7.2
96,10,0,7.2
97,10,0,7.2
98,10,0,7.2
99,10,0,7.2
100,10,0,7.2
101,9,1,6.8
102,8,2,6
103,7,3,5.4
104,7,3,4.8
105,7,3,4.8
106,7,3,4.8
107,5,5,4.4
108,4,6,3.2
109,4,6,2.4
110,3,7,2.4
111,1,9,1.4
112,1,9,0
113,1,9,0
114,1,9,0
115,1,9,0
116,0,10,0
