time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type,node_11_energy,node_11_alive,node_11_type,node_12_energy,node_12_alive,node_12_type,node_13_energy,node_13_alive,node_13_type,node_14_energy,node_14_alive,node_14_type,node_15_energy,node_15_alive,node_15_type,node_16_energy,node_16_alive,node_16_type,node_17_energy,node_17_alive,node_17_type,node_18_energy,node_18_alive,node_18_type,node_19_energy,node_19_alive,node_19_type,node_20_energy,node_20_alive,node_20_type,node_21_energy,node_21_alive,node_21_type,node_22_energy,node_22_alive,node_22_type,node_23_energy,node_23_alive,node_23_type,node_24_energy,node_24_alive,node_24_type,node_25_energy,node_25_alive,node_25_type,node_26_energy,node_26_alive,node_26_type,node_27_energy,node_27_alive,node_27_type,node_28_energy,node_28_alive,node_28_type,node_29_energy,node_29_alive,node_29_type,node_30_energy,node_30_alive,node_30_type
0,30,100.0,2,149.89288,1,CLUSTER_HEAD,149.55972,1,REGULAR,149.65067999999997,1,CLUSTER_HEAD,149.51963999999998,1,REGULAR,149.8729,1,CLUSTER_HEAD,149.47976,1,REGULAR,149.59972,1,REGULAR,149.57968,1,REGULAR,149.55963999999997,1,REGULAR,149.53979999999999,1,REGULAR,149.63576,1,CLUSTER_HEAD,149.49972000000002,1,REGULAR,149.86784,1,CLUSTER_HEAD,149.59964,1,REGULAR,149.8929,1,CLUSTER_HEAD,149.55976,1,REGULAR,149.53972000000002,1,REGULAR,149.51968,1,REGULAR,149.49964,1,REGULAR,149.4798,1,REGULAR,149.89788,1,CLUSTER_HEAD,149.57971999999998,1,REGULAR,149.88783999999998,1,CLUSTER_HEAD,149.53964,1,REGULAR,149.87789999999998,1,CLUSTER_HEAD,149.87287999999998,1,CLUSTER_HEAD,149.47972,1,REGULAR,149.89784,1,CLUSTER_HEAD,149.57964,1,REGULAR,149.8879,1,CLUSTER_HEAD
1,30,100.0,2,149.78575996626665,1,CLUSTER_HEAD,149.44957999953334,1,REGULAR,149.5335199661333,1,CLUSTER_HEAD,149.3994599994,1,REGULAR,149.74579996633332,1,CLUSTER_HEAD,149.3496399996,1,REGULAR,149.49957999953332,1,REGULAR,149.47451999946665,1,REGULAR,149.44945999939998,1,REGULAR,149.42469999966664,1,REGULAR,149.51363996626668,1,CLUSTER_HEAD,149.37457999953335,1,REGULAR,149.73567996613335,1,CLUSTER_HEAD,149.4994599994,1,REGULAR,149.78579996633334,1,CLUSTER_HEAD,149.4496399996,1,REGULAR,149.42457999953336,1,REGULAR,149.39951999946666,1,REGULAR,149.3744599994,1,REGULAR,149.34969999966668,1,REGULAR,149.79575996626664,1,CLUSTER_HEAD,149.47457999953332,1,REGULAR,149.7756799661333,1,CLUSTER_HEAD,149.4244599994,1,REGULAR,149.7557999663333,1,CLUSTER_HEAD,149.74575996626666,1,CLUSTER_HEAD,149.34957999953332,1,REGULAR,149.79567996613335,1,CLUSTER_HEAD,149.4744599994,1,REGULAR,149.77579996633332,1,CLUSTER_HEAD
2,30,100.0,2,149.6786398988,1,CLUSTER_HEAD,149.00929999766666,1,REGULAR,149.41635989839997,1,CLUSTER_HEAD,149.2792799982,1,REGULAR,149.618699899,1,CLUSTER_HEAD,149.2195199988,1,REGULAR,149.3994399986,1,REGULAR,149.36935999839997,1,REGULAR,149.33927999819997,1,REGULAR,149.30959999899997,1,REGULAR,149.39151989880003,1,CLUSTER_HEAD,149.24943999860002,1,REGULAR,149.60351989840004,1,CLUSTER_HEAD,149.3992799982,1,REGULAR,149.67869989900004,1,CLUSTER_HEAD,149.3395199988,1,REGULAR,149.30943999860003,1,REGULAR,149.2793599984,1,REGULAR,149.2492799982,1,REGULAR,149.21959999900002,1,REGULAR,149.6936398988,1,CLUSTER_HEAD,149.36943999859997,1,REGULAR,149.66351989839998,1,CLUSTER_HEAD,149.3092799982,1,REGULAR,149.633699899,1,CLUSTER_HEAD,149.6186398988,1,CLUSTER_HEAD,149.2194399986,1,REGULAR,149.69351989840004,1,CLUSTER_HEAD,149.3692799982,1,REGULAR,149.663699899,1,CLUSTER_HEAD
3,30,100.0,2,149.5715197976,1,CLUSTER_HEAD,148.89915999626666,1,REGULAR,149.29919979679997,1,CLUSTER_HEAD,149.1590999964,1,REGULAR,149.491599798,1,CLUSTER_HEAD,149.0893999976,1,REGULAR,149.2992999972,1,REGULAR,149.26419999679996,1,REGULAR,149.22909999639998,1,REGULAR,149.19449999799997,1,REGULAR,149.26939979760002,1,CLUSTER_HEAD,149.1242999972,1,REGULAR,149.47135979680004,1,CLUSTER_HEAD,149.2990999964,1,REGULAR,149.57159979800002,1,CLUSTER_HEAD,149.2293999976,1,REGULAR,149.19429999720003,1,REGULAR,149.1591999968,1,REGULAR,149.1240999964,1,REGULAR,149.08949999800004,1,REGULAR,149.5915197976,1,CLUSTER_HEAD,149.26429999719997,1,REGULAR,149.55135979679997,1,CLUSTER_HEAD,148.84891999459998,1,REGULAR,149.511599798,1,CLUSTER_HEAD,149.4915197976,1,CLUSTER_HEAD,149.0892999972,1,REGULAR,149.59135979680005,1,CLUSTER_HEAD,149.2640999964,1,REGULAR,149.55159979799998,1,CLUSTER_HEAD
4,30,100.0,2,149.46439966266666,1,CLUSTER_HEAD,148.7890199944,1,REGULAR,149.1820396613333,1,CLUSTER_HEAD,149.038919994,1,REGULAR,149.36449966333336,1,CLUSTER_HEAD,148.959279996,1,REGULAR,149.19915999533333,1,REGULAR,149.1590399946666,1,REGULAR,149.11891999399998,1,REGULAR,149.07939999666664,1,REGULAR,149.1472796626667,1,CLUSTER_HEAD,148.99915999533334,1,REGULAR,149.3391996613334,1,CLUSTER_HEAD,149.198919994,1,REGULAR,149.46449966333336,1,CLUSTER_HEAD,149.11927999600002,1,REGULAR,149.07915999533336,1,REGULAR,149.03903999466667,1,REGULAR,148.998919994,1,REGULAR,148.9593999966667,1,REGULAR,149.48939966266667,1,CLUSTER_HEAD,149.1591599953333,1,REGULAR,149.4391996613333,1,CLUSTER_HEAD,148.7337399922,1,REGULAR,149.38949966333334,1,CLUSTER_HEAD,149.36439966266667,1,CLUSTER_HEAD,148.95915999533332,1,REGULAR,149.4891996613334,1,CLUSTER_HEAD,149.158919994,1,REGULAR,149.43949966333332,1,CLUSTER_HEAD
5,30,100.0,2,149.35727949399998,1,CLUSTER_HEAD,148.67887999206667,1,REGULAR,149.06487949199996,1,CLUSTER_HEAD,148.918739991,1,REGULAR,149.237399495,1,CLUSTER_HEAD,148.82915999399998,1,REGULAR,149.09901999299998,1,REGULAR,149.05387999199993,1,REGULAR,149.00873999099997,1,REGULAR,148.96429999499998,1,REGULAR,149.02515949400004,1,CLUSTER_HEAD,148.87401999300002,1,REGULAR,149.20703949200006,1,CLUSTER_HEAD,149.098739991,1,REGULAR,149.357399495,1,CLUSTER_HEAD,149.00915999400002,1,REGULAR,148.96401999300002,1,REGULAR,148.918879992,1,REGULAR,148.873739991,1,REGULAR,148.829299995,1,REGULAR,149.38727949399998,1,CLUSTER_HEAD,149.05401999299997,1,REGULAR,149.32703949199995,1,CLUSTER_HEAD,148.61855998919998,1,REGULAR,149.267399495,1,CLUSTER_HEAD,149.237279494,1,CLUSTER_HEAD,148.829019993,1,REGULAR,149.38703949200007,1,CLUSTER_HEAD,149.05373999100001,1,REGULAR,149.32739949499998,1,CLUSTER_HEAD
6,30,100.0,2,149.25015929159997,1,CLUSTER_HEAD,148.56873998926667,1,REGULAR,148.94771928879996,1,CLUSTER_HEAD,148.79855998739998,1,REGULAR,149.1728942949,1,CLUSTER_HEAD,148.6990399916,1,REGULAR,148.99887999019998,1,REGULAR,148.63355998559993,1,REGULAR,148.89855998739998,1,REGULAR,148.90679499489997,1,REGULAR,148.90303929160004,1,CLUSTER_HEAD,148.7488799902,1,REGULAR,149.07487928880008,1,CLUSTER_HEAD,148.9985599874,1,REGULAR,149.3028942949,1,CLUSTER_HEAD,148.8990399916,1,REGULAR,148.84887999020003,1,REGULAR,148.7987199888,1,REGULAR,148.7485599874,1,REGULAR,148.7642949949,1,REGULAR,149.2851592916,1,CLUSTER_HEAD,148.94887999019997,1,REGULAR,149.21487928879995,1,CLUSTER_HEAD,148.5033799856,1,REGULAR,149.2053942949,1,CLUSTER_HEAD,149.1101592916,1,CLUSTER_HEAD,148.6988799902,1,REGULAR,149.28487928880008,1,CLUSTER_HEAD,148.94855998740002,1,REGULAR,149.27039429489997,1,CLUSTER_HEAD
7,30,100.0,2,149.19565305812665,1,CLUSTER_HEAD,148.458599986,1,REGULAR,148.8305590517333,1,CLUSTER_HEAD,148.6783799832,1,REGULAR,149.10838906145003,1,CLUSTER_HEAD,148.63403399146,1,REGULAR,148.89873998693332,1,REGULAR,148.52839998186658,1,REGULAR,148.78837998319997,1,REGULAR,148.8492899947833,1,REGULAR,148.84103305812673,1,CLUSTER_HEAD,148.62373998693334,1,REGULAR,148.94271905173343,1,CLUSTER_HEAD,148.8983799832,1,REGULAR,149.24838906145,1,CLUSTER_HEAD,148.84403399146,1,REGULAR,148.73373998693336,1,REGULAR,148.67855998506667,1,REGULAR,148.24819997900002,1,REGULAR,148.69928999478336,1,REGULAR,149.23315305812667,1,CLUSTER_HEAD,148.84373998693331,1,REGULAR,149.1027190517333,1,CLUSTER_HEAD,148.3881999814,1,REGULAR,149.14338906145002,1,CLUSTER_HEAD,149.0456530581267,1,CLUSTER_HEAD,148.56873998693334,1,REGULAR,149.18271905173344,1,CLUSTER_HEAD,148.8433799832,1,REGULAR,149.21338906145,1,CLUSTER_HEAD
8,30,100.0,2,149.14114679129997,1,CLUSTER_HEAD,148.34845998226666,1,REGULAR,148.71339878079996,1,CLUSTER_HEAD,148.55819997839998,1,REGULAR,149.04388379465001,1,CLUSTER_HEAD,148.5690279913,1,REGULAR,148.84873298674665,1,REGULAR,148.4232399775999,1,REGULAR,148.6781999784,1,REGULAR,148.79178499464996,1,REGULAR,148.77902679130005,1,CLUSTER_HEAD,148.5612329867467,1,REGULAR,148.8105587808001,1,CLUSTER_HEAD,148.7981999784,1,REGULAR,149.19388379465002,1,CLUSTER_HEAD,148.7890279913,1,REGULAR,148.6762329867467,1,REGULAR,148.5583999808,1,REGULAR,148.12301997420002,1,REGULAR,148.63428499465002,1,REGULAR,149.1811467913,1,CLUSTER_HEAD,148.79123298674665,1,REGULAR,148.99055878079994,1,CLUSTER_HEAD,148.27301997659998,1,REGULAR,149.08138379465,1,CLUSTER_HEAD,148.98114679130003,1,CLUSTER_HEAD,148.50373298674668,1,REGULAR,149.08055878080012,1,CLUSTER_HEAD,148.73819997840002,1,REGULAR,149.15638379465,1,CLUSTER_HEAD
9,30,100.0,2,149.08664049112,1,CLUSTER_HEAD,148.23831997806667,1,REGULAR,148.65389048055997,1,CLUSTER_HEAD,148.438019973,1,REGULAR,148.97937849450003,1,CLUSTER_HEAD,148.50402199112,1,REGULAR,148.79872598653665,1,REGULAR,148.3180799727999,1,REGULAR,148.568019973,1,REGULAR,148.73427999449996,1,REGULAR,148.71702049112005,1,CLUSTER_HEAD,148.4987259865367,1,REGULAR,148.74355048056012,1,CLUSTER_HEAD,148.698019973,1,REGULAR,149.13937849450002,1,CLUSTER_HEAD,148.73402199112002,1,REGULAR,148.6187259865367,1,REGULAR,148.49839198056,1,REGULAR,147.9978399688,1,REGULAR,148.56927999450002,1,REGULAR,149.12914049112,1,CLUSTER_HEAD,148.73872598653665,1,REGULAR,148.93355048055994,1,CLUSTER_HEAD,148.1578399712,1,REGULAR,149.01937849450002,1,CLUSTER_HEAD,148.91664049112003,1,CLUSTER_HEAD,148.4387259865367,1,REGULAR,149.0285504805601,1,CLUSTER_HEAD,148.63301997300002,1,REGULAR,149.0993784945,1,CLUSTER_HEAD
