Node_ID,Death_Time,Node_Type,Initial_Energy,Final_Energy
1,2688,REGULAR,0.0,0
2,2522,CLUSTER_HEAD,0.0,0
3,2470,REGULAR,0.0,0
4,2278,CLUSTER_HEAD,0.0,0
5,2274,REGULAR,11.661819696916643,0
6,2260,REGULAR,0.0,0
7,2829,REGULAR,7.753322892223304,0
8,2643,REGULAR,13.572228249624699,0
9,2572,REGULAR,0.0,0
10,2516,CLUSTER_HEAD,0.0,0
11,2374,CLUSTER_HEAD,0.0,0
12,2277,CLUSTER_HEAD,0.0,0
13,2058,REGULAR,76.25846694453786,0
14,2864,CLUSTER_HEAD,119.19270458335,0
15,2717,REGULAR,1.5238250249166867,0
16,2662,REGULAR,10.602928189044668,0
17,2538,CLUSTER_HEAD,0.0,0
18,2355,REGULAR,0.0,0
19,2334,REGULAR,109.44762079162999,0
20,2295,REGULAR,150.0,0
21,2826,REGULAR,6.957754579119985,0
22,2687,CLUSTER_HEAD,0.0,0
23,2552,REGULAR,9.188129087602928,0
24,2583,CLUSTER_HEAD,0.0,0
25,2471,REGULAR,131.03643424775,0
26,2008,REGULAR,51.342323755494206,0
27,2262,REGULAR,89.45392540767335,0
28,2798,REGULAR,5.68876577207875,0
29,2635,REGULAR,13.206356396099904,0
30,2371,REGULAR,7.642191127178628,0
