Epoch,FirstNodeDeathTime
1,415
2,409
3,406
4,402
5,400
6,404
7,408
8,396
9,411
10,401
11,411
12,408
13,412
14,397
15,403
16,394
17,400
18,414
19,414
20,396
21,398
22,409
23,412
24,413
25,403
26,420
27,415
28,414
29,408
30,402
31,401
32,397
33,411
34,411
35,414
36,415
37,394
38,403
39,411
40,412
41,398
42,413
43,411
44,401
45,417
46,413
47,406
48,399
49,413
50,416
51,411
52,400
53,399
54,404
55,402
56,395
57,385
58,401
59,418
60,390
61,417
62,417
63,401
64,406
65,388
66,395
67,412
68,402
69,403
70,417
71,419
72,400
73,412
74,412
75,395
76,412
77,412
78,415
79,406
80,413
81,390
82,416
83,415
84,403
85,402
86,411
87,412
88,418
89,417
90,401
91,418
92,410
93,411
94,417
95,411
96,414
97,381
98,387
99,412
100,388
101,403
102,395
103,400
104,418
105,397
106,416
107,416
108,407
109,412
110,414
111,394
112,407
113,410
114,409
115,406
116,409
117,411
118,394
119,414
120,402
121,418
122,413
123,402
124,404
125,412
126,401
127,414
128,418
129,383
130,393
131,408
132,393
133,389
134,410
135,400
136,395
137,410
138,414
139,392
140,419
141,394
142,391
143,401
144,388
145,406
146,388
147,395
148,406
149,407
150,401
151,403
152,397
153,405
154,412
155,404
156,402
157,369
158,419
159,396
160,414
161,413
162,399
163,393
164,399
165,397
166,416
167,392
168,404
169,399
170,387
171,401
172,407
173,407
174,411
175,417
176,388
177,413
178,412
179,413
180,414
181,411
182,409
183,406
184,398
185,390
186,396
187,412
188,401
189,388
190,415
191,415
192,400
193,412
194,400
195,413
196,416
197,408
198,401
199,407
200,414
201,397
202,415
203,397
204,407
205,413
206,407
207,406
208,412
209,418
210,411
211,409
212,412
213,407
214,413
215,413
216,412
217,404
218,382
219,412
220,403
221,404
222,406
223,414
224,403
225,401
226,398
227,398
228,400
229,414
230,413
231,411
232,415
233,414
234,393
235,389
236,409
237,396
238,397
239,417
240,418
241,409
242,392
243,392
244,415
245,387
246,390
247,392
248,392
249,389
250,407
251,391
252,415
253,417
254,405
255,406
256,408
257,396
258,389
259,407
260,414
261,412
262,411
263,412
264,387
265,393
266,415
267,402
268,406
269,420
270,413
271,402
272,395
273,418
274,403
275,415
276,392
277,405
278,408
279,417
280,395
281,399
282,409
283,403
284,415
285,387
286,414
287,406
288,402
289,413
290,411
291,411
292,390
293,393
294,409
295,414
296,395
297,394
298,395
299,414
300,403
