epoch,first_death_time,final_live_percentage,simulation_duration,total_transmissions,energy_efficiency,method
1,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
2,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
3,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
4,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
5,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
6,1466,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
7,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
8,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
9,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
10,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
11,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
12,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
13,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
14,1516,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
15,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
16,1443,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
17,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
18,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
19,1446,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
20,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
21,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
22,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
23,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
24,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
25,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
26,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
27,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
28,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
29,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
30,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
31,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
32,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
33,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
34,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
35,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
36,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
37,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
38,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
39,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
40,1441,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
41,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
42,1462,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
43,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
44,1470,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
45,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
46,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
47,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
48,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
49,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
50,1514,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
51,1516,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
52,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
53,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
54,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
55,1470,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
56,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
57,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
58,1462,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
59,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
60,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
61,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
62,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
63,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
64,1518,10.0,3000,0,1.0,DQL_Enhanced_RLBEEP
65,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
66,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
67,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
68,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
69,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
70,1453,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
71,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
72,1480,10.0,3000,0,1.0,DQL_Enhanced_RLBEEP
73,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
74,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
75,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
76,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
77,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
78,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
79,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
80,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
81,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
82,1522,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
83,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
84,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
85,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
86,1470,30.0,3000,0,1.0,DQL_Enhanced_RLBEEP
87,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
88,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
89,1516,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
90,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
91,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
92,1463,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
