epoch,first_death_time,final_live_percentage,simulation_duration,method
1,1003,0.0,3000,Traditional_RLBEEP
2,1004,0.0,3000,Traditional_RLBEEP
3,1147,0.0,3000,Traditional_RLBEEP
4,1002,0.0,3000,Traditional_RLBEEP
5,1139,0.0,3000,Traditional_RLBEEP
6,997,0.0,3000,Traditional_RLBEEP
7,1153,0.0,3000,Traditional_RLBEEP
8,1002,0.0,3000,Traditional_RLBEEP
9,996,0.0,3000,Traditional_RLBEEP
10,996,0.0,3000,Traditional_RLBEEP
11,1003,0.0,3000,Traditional_RLBEEP
12,1161,0.0,3000,Traditional_RLBEEP
13,1173,0.0,3000,Traditional_RLBEEP
14,995,0.0,3000,Traditional_RLBEEP
15,1007,0.0,3000,Traditional_RLBEEP
16,1000,0.0,3000,Traditional_RLBEEP
17,1004,0.0,3000,Traditional_RLBEEP
18,1171,0.0,3000,Traditional_RLBEEP
19,991,0.0,3000,Traditional_RLBEEP
20,996,0.0,3000,Traditional_RLBEEP
21,1000,0.0,3000,Traditional_RLBEEP
22,997,0.0,3000,Traditional_RLBEEP
23,1147,0.0,3000,Traditional_RLBEEP
24,1007,0.0,3000,Traditional_RLBEEP
25,995,0.0,3000,Traditional_RLBEEP
26,1000,0.0,3000,Traditional_RLBEEP
27,1180,0.0,3000,Traditional_RLBEEP
28,1150,0.0,3000,Traditional_RLBEEP
29,999,0.0,3000,Traditional_RLBEEP
30,1175,0.0,3000,Traditional_RLBEEP
31,997,0.0,3000,Traditional_RLBEEP
32,1005,0.0,3000,Traditional_RLBEEP
33,1163,0.0,3000,Traditional_RLBEEP
34,1002,0.0,3000,Traditional_RLBEEP
35,1007,0.0,3000,Traditional_RLBEEP
36,1002,0.0,3000,Traditional_RLBEEP
37,995,0.0,3000,Traditional_RLBEEP
38,1000,0.0,3000,Traditional_RLBEEP
39,996,0.0,3000,Traditional_RLBEEP
40,1147,0.0,3000,Traditional_RLBEEP
41,1147,0.0,3000,Traditional_RLBEEP
42,1004,0.0,3000,Traditional_RLBEEP
43,1000,0.0,3000,Traditional_RLBEEP
44,1183,0.0,3000,Traditional_RLBEEP
45,1000,0.0,3000,Traditional_RLBEEP
46,1004,0.0,3000,Traditional_RLBEEP
47,1159,0.0,3000,Traditional_RLBEEP
48,1002,0.0,3000,Traditional_RLBEEP
49,1177,0.0,3000,Traditional_RLBEEP
50,1009,0.0,3000,Traditional_RLBEEP
51,1003,0.0,3000,Traditional_RLBEEP
52,1150,0.0,3000,Traditional_RLBEEP
53,1002,0.0,3000,Traditional_RLBEEP
54,1005,0.0,3000,Traditional_RLBEEP
55,1156,0.0,3000,Traditional_RLBEEP
56,1002,0.0,3000,Traditional_RLBEEP
57,999,0.0,3000,Traditional_RLBEEP
58,1178,0.0,3000,Traditional_RLBEEP
59,999,0.0,3000,Traditional_RLBEEP
60,1176,0.0,3000,Traditional_RLBEEP
61,1002,0.0,3000,Traditional_RLBEEP
62,1001,0.0,3000,Traditional_RLBEEP
63,997,0.0,3000,Traditional_RLBEEP
64,995,0.0,3000,Traditional_RLBEEP
65,997,0.0,3000,Traditional_RLBEEP
66,997,0.0,3000,Traditional_RLBEEP
67,1145,0.0,3000,Traditional_RLBEEP
68,1000,0.0,3000,Traditional_RLBEEP
69,1160,0.0,3000,Traditional_RLBEEP
70,1010,0.0,3000,Traditional_RLBEEP
71,754,0.0,3000,Traditional_RLBEEP
72,997,0.0,3000,Traditional_RLBEEP
73,999,0.0,3000,Traditional_RLBEEP
74,993,0.0,3000,Traditional_RLBEEP
75,997,0.0,3000,Traditional_RLBEEP
76,1010,0.0,3000,Traditional_RLBEEP
77,1148,0.0,3000,Traditional_RLBEEP
78,1003,0.0,3000,Traditional_RLBEEP
79,998,0.0,3000,Traditional_RLBEEP
80,1142,0.0,3000,Traditional_RLBEEP
81,997,0.0,3000,Traditional_RLBEEP
82,1173,0.0,3000,Traditional_RLBEEP
83,991,0.0,3000,Traditional_RLBEEP
84,999,0.0,3000,Traditional_RLBEEP
85,1004,0.0,3000,Traditional_RLBEEP
86,1157,0.0,3000,Traditional_RLBEEP
87,1003,0.0,3000,Traditional_RLBEEP
88,1004,0.0,3000,Traditional_RLBEEP
89,1148,0.0,3000,Traditional_RLBEEP
90,994,0.0,3000,Traditional_RLBEEP
91,1006,0.0,3000,Traditional_RLBEEP
92,1001,0.0,3000,Traditional_RLBEEP
93,998,0.0,3000,Traditional_RLBEEP
94,998,0.0,3000,Traditional_RLBEEP
95,995,0.0,3000,Traditional_RLBEEP
96,1154,0.0,3000,Traditional_RLBEEP
97,996,0.0,3000,Traditional_RLBEEP
98,1004,0.0,3000,Traditional_RLBEEP
99,995,0.0,3000,Traditional_RLBEEP
100,1164,0.0,3000,Traditional_RLBEEP
101,1005,0.0,3000,Traditional_RLBEEP
102,1150,0.0,3000,Traditional_RLBEEP
103,1003,0.0,3000,Traditional_RLBEEP
104,1001,0.0,3000,Traditional_RLBEEP
105,1178,0.0,3000,Traditional_RLBEEP
