epoch,first_death_time,method
1,595,Traditional_RLBEEP
2,791,Traditional_RLBEEP
3,803,Traditional_RLBEEP
4,733,Traditional_RLBEEP
5,624,Traditional_RLBEEP
6,740,Traditional_RLBEEP
7,711,Traditional_RLBEEP
8,745,Traditional_RLBEEP
9,92,Traditional_RLBEEP
10,705,Traditional_RLBEEP
11,772,Traditional_RLBEEP
12,692,Traditional_RLBEEP
13,642,Traditional_RLBEEP
14,763,Traditional_RLBEEP
15,637,Traditional_RLBEEP
16,680,Traditional_RLBEEP
17,698,Traditional_RLBEEP
18,666,Traditional_RLBEEP
19,649,Traditional_RLBEEP
20,678,Traditional_RLBEEP
21,605,Traditional_RLBEEP
22,744,Traditional_RLBEEP
23,639,Traditional_RLBEEP
24,826,Traditional_RLBEEP
25,735,Traditional_RLBEEP
26,766,Traditional_RLBEEP
27,765,Traditional_RLBEEP
28,702,Traditional_RLBEEP
29,705,Traditional_RLBEEP
30,665,Traditional_RLBEEP
31,561,Traditional_RLBEEP
32,764,Traditional_RLBEEP
33,770,Traditional_RLBEEP
34,832,Traditional_RLBEEP
35,745,Traditional_RLBEEP
36,733,Traditional_RLBEEP
37,703,Traditional_RLBEEP
38,686,Traditional_RLBEEP
39,753,Traditional_RLBEEP
40,667,Traditional_RLBEEP
41,587,Traditional_RLBEEP
42,579,Traditional_RLBEEP
43,808,Traditional_RLBEEP
44,734,Traditional_RLBEEP
45,732,Traditional_RLBEEP
46,591,Traditional_RLBEEP
47,839,Traditional_RLBEEP
48,632,Traditional_RLBEEP
49,726,Traditional_RLBEEP
50,586,Traditional_RLBEEP
51,812,Traditional_RLBEEP
52,774,Traditional_RLBEEP
53,564,Traditional_RLBEEP
54,673,Traditional_RLBEEP
55,733,Traditional_RLBEEP
56,755,Traditional_RLBEEP
57,693,Traditional_RLBEEP
58,799,Traditional_RLBEEP
59,652,Traditional_RLBEEP
60,746,Traditional_RLBEEP
61,595,Traditional_RLBEEP
62,820,Traditional_RLBEEP
63,725,Traditional_RLBEEP
64,731,Traditional_RLBEEP
65,680,Traditional_RLBEEP
66,600,Traditional_RLBEEP
67,687,Traditional_RLBEEP
68,329,Traditional_RLBEEP
69,788,Traditional_RLBEEP
70,728,Traditional_RLBEEP
71,631,Traditional_RLBEEP
72,714,Traditional_RLBEEP
73,768,Traditional_RLBEEP
74,634,Traditional_RLBEEP
75,685,Traditional_RLBEEP
76,764,Traditional_RLBEEP
77,752,Traditional_RLBEEP
78,783,Traditional_RLBEEP
79,661,Traditional_RLBEEP
80,692,Traditional_RLBEEP
81,789,Traditional_RLBEEP
82,694,Traditional_RLBEEP
83,757,Traditional_RLBEEP
84,722,Traditional_RLBEEP
85,732,Traditional_RLBEEP
86,592,Traditional_RLBEEP
87,623,Traditional_RLBEEP
88,740,Traditional_RLBEEP
89,778,Traditional_RLBEEP
90,824,Traditional_RLBEEP
91,793,Traditional_RLBEEP
92,727,Traditional_RLBEEP
93,733,Traditional_RLBEEP
94,796,Traditional_RLBEEP
95,720,Traditional_RLBEEP
96,584,Traditional_RLBEEP
97,600,Traditional_RLBEEP
98,695,Traditional_RLBEEP
99,730,Traditional_RLBEEP
100,819,Traditional_RLBEEP
101,738,Traditional_RLBEEP
102,733,Traditional_RLBEEP
103,1268,Traditional_RLBEEP
104,689,Traditional_RLBEEP
105,671,Traditional_RLBEEP
106,731,Traditional_RLBEEP
107,598,Traditional_RLBEEP
108,735,Traditional_RLBEEP
109,594,Traditional_RLBEEP
110,787,Traditional_RLBEEP
111,773,Traditional_RLBEEP
112,574,Traditional_RLBEEP
113,757,Traditional_RLBEEP
114,615,Traditional_RLBEEP
115,743,Traditional_RLBEEP
116,608,Traditional_RLBEEP
117,731,Traditional_RLBEEP
118,657,Traditional_RLBEEP
119,548,Traditional_RLBEEP
120,691,Traditional_RLBEEP
121,733,Traditional_RLBEEP
122,625,Traditional_RLBEEP
123,594,Traditional_RLBEEP
124,652,Traditional_RLBEEP
125,792,Traditional_RLBEEP
126,645,Traditional_RLBEEP
127,741,Traditional_RLBEEP
128,814,Traditional_RLBEEP
129,732,Traditional_RLBEEP
130,760,Traditional_RLBEEP
131,750,Traditional_RLBEEP
132,643,Traditional_RLBEEP
133,649,Traditional_RLBEEP
134,732,Traditional_RLBEEP
135,740,Traditional_RLBEEP
136,761,Traditional_RLBEEP
137,747,Traditional_RLBEEP
138,748,Traditional_RLBEEP
139,752,Traditional_RLBEEP
140,597,Traditional_RLBEEP
141,758,Traditional_RLBEEP
142,719,Traditional_RLBEEP
143,752,Traditional_RLBEEP
144,781,Traditional_RLBEEP
145,657,Traditional_RLBEEP
146,571,Traditional_RLBEEP
147,716,Traditional_RLBEEP
148,784,Traditional_RLBEEP
149,779,Traditional_RLBEEP
150,687,Traditional_RLBEEP
151,747,Traditional_RLBEEP
152,581,Traditional_RLBEEP
153,722,Traditional_RLBEEP
154,596,Traditional_RLBEEP
155,733,Traditional_RLBEEP
156,763,Traditional_RLBEEP
157,664,Traditional_RLBEEP
158,670,Traditional_RLBEEP
159,753,Traditional_RLBEEP
160,694,Traditional_RLBEEP
161,762,Traditional_RLBEEP
162,752,Traditional_RLBEEP
163,693,Traditional_RLBEEP
164,804,Traditional_RLBEEP
165,651,Traditional_RLBEEP
166,668,Traditional_RLBEEP
167,751,Traditional_RLBEEP
168,817,Traditional_RLBEEP
169,734,Traditional_RLBEEP
170,597,Traditional_RLBEEP
171,743,Traditional_RLBEEP
172,622,Traditional_RLBEEP
173,654,Traditional_RLBEEP
174,741,Traditional_RLBEEP
175,814,Traditional_RLBEEP
176,539,Traditional_RLBEEP
177,592,Traditional_RLBEEP
178,767,Traditional_RLBEEP
179,773,Traditional_RLBEEP
180,764,Traditional_RLBEEP
181,739,Traditional_RLBEEP
182,785,Traditional_RLBEEP
183,837,Traditional_RLBEEP
184,718,Traditional_RLBEEP
185,784,Traditional_RLBEEP
186,583,Traditional_RLBEEP
187,730,Traditional_RLBEEP
188,571,Traditional_RLBEEP
189,793,Traditional_RLBEEP
190,765,Traditional_RLBEEP
191,730,Traditional_RLBEEP
192,684,Traditional_RLBEEP
193,728,Traditional_RLBEEP
194,724,Traditional_RLBEEP
195,751,Traditional_RLBEEP
196,810,Traditional_RLBEEP
197,719,Traditional_RLBEEP
198,596,Traditional_RLBEEP
199,679,Traditional_RLBEEP
200,702,Traditional_RLBEEP
201,768,Traditional_RLBEEP
202,838,Traditional_RLBEEP
203,680,Traditional_RLBEEP
204,745,Traditional_RLBEEP
205,798,Traditional_RLBEEP
206,737,Traditional_RLBEEP
207,751,Traditional_RLBEEP
208,661,Traditional_RLBEEP
209,760,Traditional_RLBEEP
210,783,Traditional_RLBEEP
211,727,Traditional_RLBEEP
212,689,Traditional_RLBEEP
213,542,Traditional_RLBEEP
214,726,Traditional_RLBEEP
215,784,Traditional_RLBEEP
216,733,Traditional_RLBEEP
217,724,Traditional_RLBEEP
218,721,Traditional_RLBEEP
219,802,Traditional_RLBEEP
220,695,Traditional_RLBEEP
221,788,Traditional_RLBEEP
222,769,Traditional_RLBEEP
