epoch,first_death_time,method
1,1772,DQL_Enhanced_RLBEEP
2,1613,DQL_Enhanced_RLBEEP
3,1799,DQL_Enhanced_RLBEEP
4,1612,DQL_Enhanced_RLBEEP
5,1530,DQL_Enhanced_RLBEEP
6,1761,DQL_Enhanced_RLBEEP
7,1572,DQL_Enhanced_RLBEEP
8,1600,DQL_Enhanced_RLBEEP
9,1767,DQL_Enhanced_RLBEEP
10,1919,DQL_Enhanced_RLBEEP
11,1784,DQL_Enhanced_RLBEEP
12,1640,DQL_Enhanced_RLBEEP
13,1793,DQL_Enhanced_RLBEEP
14,1757,DQL_Enhanced_RLBEEP
15,1645,DQL_Enhanced_RLBEEP
16,1448,DQL_Enhanced_RLBEEP
17,1533,DQL_Enhanced_RLBEEP
18,1762,DQL_Enhanced_RLBEEP
19,1762,DQL_Enhanced_RLBEEP
20,1761,DQL_Enhanced_RLBEEP
21,1642,DQL_Enhanced_RLBEEP
22,1789,DQL_Enhanced_RLBEEP
23,1766,DQL_Enhanced_RLBEEP
24,1807,DQL_Enhanced_RLBEEP
25,1492,DQL_Enhanced_RLBEEP
26,1567,DQL_Enhanced_RLBEEP
27,1761,DQL_Enhanced_RLBEEP
28,1761,DQL_Enhanced_RLBEEP
29,1859,DQL_Enhanced_RLBEEP
30,1709,DQL_Enhanced_RLBEEP
31,1527,DQL_Enhanced_RLBEEP
32,1747,DQL_Enhanced_RLBEEP
33,1578,DQL_Enhanced_RLBEEP
34,1938,DQL_Enhanced_RLBEEP
35,1767,DQL_Enhanced_RLBEEP
36,1686,DQL_Enhanced_RLBEEP
37,1796,DQL_Enhanced_RLBEEP
38,1757,DQL_Enhanced_RLBEEP
39,1785,DQL_Enhanced_RLBEEP
40,1789,DQL_Enhanced_RLBEEP
41,1749,DQL_Enhanced_RLBEEP
42,1595,DQL_Enhanced_RLBEEP
43,1764,DQL_Enhanced_RLBEEP
44,1938,DQL_Enhanced_RLBEEP
45,1777,DQL_Enhanced_RLBEEP
46,1650,DQL_Enhanced_RLBEEP
47,1756,DQL_Enhanced_RLBEEP
48,1793,DQL_Enhanced_RLBEEP
49,1799,DQL_Enhanced_RLBEEP
50,1650,DQL_Enhanced_RLBEEP
51,1585,DQL_Enhanced_RLBEEP
52,1727,DQL_Enhanced_RLBEEP
53,1849,DQL_Enhanced_RLBEEP
54,1935,DQL_Enhanced_RLBEEP
55,1795,DQL_Enhanced_RLBEEP
56,1752,DQL_Enhanced_RLBEEP
57,1760,DQL_Enhanced_RLBEEP
58,1643,DQL_Enhanced_RLBEEP
59,1789,DQL_Enhanced_RLBEEP
60,1799,DQL_Enhanced_RLBEEP
61,1813,DQL_Enhanced_RLBEEP
62,1739,DQL_Enhanced_RLBEEP
63,1761,DQL_Enhanced_RLBEEP
64,1756,DQL_Enhanced_RLBEEP
65,1601,DQL_Enhanced_RLBEEP
66,1748,DQL_Enhanced_RLBEEP
67,1776,DQL_Enhanced_RLBEEP
68,1760,DQL_Enhanced_RLBEEP
69,1452,DQL_Enhanced_RLBEEP
70,2005,DQL_Enhanced_RLBEEP
71,1796,DQL_Enhanced_RLBEEP
72,1796,DQL_Enhanced_RLBEEP
73,1757,DQL_Enhanced_RLBEEP
74,1484,DQL_Enhanced_RLBEEP
75,1779,DQL_Enhanced_RLBEEP
76,1636,DQL_Enhanced_RLBEEP
77,1605,DQL_Enhanced_RLBEEP
78,1701,DQL_Enhanced_RLBEEP
79,1899,DQL_Enhanced_RLBEEP
80,1789,DQL_Enhanced_RLBEEP
81,1570,DQL_Enhanced_RLBEEP
82,1992,DQL_Enhanced_RLBEEP
83,1682,DQL_Enhanced_RLBEEP
84,1749,DQL_Enhanced_RLBEEP
85,1616,DQL_Enhanced_RLBEEP
86,1783,DQL_Enhanced_RLBEEP
87,1875,DQL_Enhanced_RLBEEP
88,1467,DQL_Enhanced_RLBEEP
89,1789,DQL_Enhanced_RLBEEP
90,1518,DQL_Enhanced_RLBEEP
91,1761,DQL_Enhanced_RLBEEP
92,1525,DQL_Enhanced_RLBEEP
93,1487,DQL_Enhanced_RLBEEP
94,1761,DQL_Enhanced_RLBEEP
95,1685,DQL_Enhanced_RLBEEP
96,1763,DQL_Enhanced_RLBEEP
97,2044,DQL_Enhanced_RLBEEP
98,1812,DQL_Enhanced_RLBEEP
99,1598,DQL_Enhanced_RLBEEP
100,1775,DQL_Enhanced_RLBEEP
101,1624,DQL_Enhanced_RLBEEP
102,1761,DQL_Enhanced_RLBEEP
103,1682,DQL_Enhanced_RLBEEP
104,1563,DQL_Enhanced_RLBEEP
105,1789,DQL_Enhanced_RLBEEP
106,1757,DQL_Enhanced_RLBEEP
107,1609,DQL_Enhanced_RLBEEP
108,1800,DQL_Enhanced_RLBEEP
109,1673,DQL_Enhanced_RLBEEP
110,1760,DQL_Enhanced_RLBEEP
111,1800,DQL_Enhanced_RLBEEP
112,1739,DQL_Enhanced_RLBEEP
113,1545,DQL_Enhanced_RLBEEP
114,1799,DQL_Enhanced_RLBEEP
115,1584,DQL_Enhanced_RLBEEP
116,1588,DQL_Enhanced_RLBEEP
117,1548,DQL_Enhanced_RLBEEP
118,1795,DQL_Enhanced_RLBEEP
119,1746,DQL_Enhanced_RLBEEP
120,1855,DQL_Enhanced_RLBEEP
121,1746,DQL_Enhanced_RLBEEP
122,1531,DQL_Enhanced_RLBEEP
123,1778,DQL_Enhanced_RLBEEP
124,1757,DQL_Enhanced_RLBEEP
125,1940,DQL_Enhanced_RLBEEP
126,1511,DQL_Enhanced_RLBEEP
127,1780,DQL_Enhanced_RLBEEP
128,1745,DQL_Enhanced_RLBEEP
129,1812,DQL_Enhanced_RLBEEP
130,1781,DQL_Enhanced_RLBEEP
131,1785,DQL_Enhanced_RLBEEP
132,1756,DQL_Enhanced_RLBEEP
133,1776,DQL_Enhanced_RLBEEP
134,1772,DQL_Enhanced_RLBEEP
135,1645,DQL_Enhanced_RLBEEP
136,1761,DQL_Enhanced_RLBEEP
137,1747,DQL_Enhanced_RLBEEP
138,1768,DQL_Enhanced_RLBEEP
139,1757,DQL_Enhanced_RLBEEP
140,1787,DQL_Enhanced_RLBEEP
141,1757,DQL_Enhanced_RLBEEP
142,1771,DQL_Enhanced_RLBEEP
143,1775,DQL_Enhanced_RLBEEP
144,1849,DQL_Enhanced_RLBEEP
145,1761,DQL_Enhanced_RLBEEP
146,1762,DQL_Enhanced_RLBEEP
147,1645,DQL_Enhanced_RLBEEP
148,1873,DQL_Enhanced_RLBEEP
149,1761,DQL_Enhanced_RLBEEP
150,1649,DQL_Enhanced_RLBEEP
151,1770,DQL_Enhanced_RLBEEP
152,1581,DQL_Enhanced_RLBEEP
153,1944,DQL_Enhanced_RLBEEP
154,1679,DQL_Enhanced_RLBEEP
155,1761,DQL_Enhanced_RLBEEP
156,1787,DQL_Enhanced_RLBEEP
157,1731,DQL_Enhanced_RLBEEP
158,1749,DQL_Enhanced_RLBEEP
159,1418,DQL_Enhanced_RLBEEP
160,1762,DQL_Enhanced_RLBEEP
161,1789,DQL_Enhanced_RLBEEP
162,1773,DQL_Enhanced_RLBEEP
163,2017,DQL_Enhanced_RLBEEP
164,1737,DQL_Enhanced_RLBEEP
165,1642,DQL_Enhanced_RLBEEP
166,1581,DQL_Enhanced_RLBEEP
167,2013,DQL_Enhanced_RLBEEP
168,1761,DQL_Enhanced_RLBEEP
169,1802,DQL_Enhanced_RLBEEP
