Epoch,FirstNodeDeathTime
1,393
2,400
3,431
4,423
5,422
6,416
7,416
8,402
9,414
10,422
11,426
12,409
13,422
14,417
15,405
16,384
17,391
18,412
19,387
20,415
21,440
22,426
23,419
24,433
25,387
26,395
27,415
28,402
29,395
30,433
31,423
32,410
33,432
34,382
35,416
36,420
37,423
38,429
39,400
40,387
41,393
42,415
43,408
44,410
45,377
46,400
47,438
48,420
49,404
50,398
51,416
52,429
53,421
54,423
55,425
56,400
57,448
58,417
59,395
60,425
61,417
62,397
63,443
64,416
65,402
66,426
67,426
68,419
69,421
70,414
71,406
72,421
73,415
74,434
75,435
76,419
77,431
78,427
79,439
80,422
81,433
82,437
83,439
84,401
85,403
86,441
87,422
88,385
89,442
90,425
91,417
92,409
93,438
94,406
95,438
96,424
97,395
98,400
99,422
100,403
101,402
102,379
103,421
104,398
105,399
106,396
107,412
108,411
109,430
110,404
111,431
112,429
113,430
114,410
115,394
116,417
117,427
118,418
119,385
120,387
121,403
122,423
123,427
124,424
125,396
126,403
127,401
128,428
129,387
130,402
131,401
132,440
133,433
134,409
135,386
136,433
137,417
138,429
139,409
140,406
141,416
142,393
143,417
144,403
145,432
146,398
147,376
148,422
149,390
150,425
151,420
152,417
153,383
154,393
155,402
156,416
157,401
158,419
159,419
160,407
161,395
162,400
163,393
164,420
165,407
166,415
167,409
168,418
169,375
170,425
171,417
172,414
173,412
174,386
175,425
176,403
177,386
178,409
179,429
180,408
181,427
182,405
183,433
184,392
185,406
186,381
187,431
188,422
189,421
190,440
191,444
192,420
193,435
194,421
195,397
196,442
197,441
198,430
199,413
200,398
201,414
202,416
203,426
204,379
205,431
206,421
207,410
208,409
209,428
210,388
211,425
212,437
213,400
214,437
215,385
216,394
217,425
218,424
219,405
220,423
221,423
222,427
223,407
224,426
225,422
226,416
227,417
228,395
229,400
230,395
231,400
232,419
233,405
234,435
235,409
236,434
237,385
238,401
239,414
240,426
241,387
242,400
243,404
244,390
245,399
246,429
247,432
248,427
249,411
250,444
251,389
252,437
253,416
254,412
255,378
256,407
257,383
258,404
259,417
260,425
261,424
262,438
263,419
264,409
265,394
266,440
267,407
268,397
269,413
270,406
271,419
272,426
273,389
274,391
275,393
276,425
277,377
278,395
279,448
280,400
281,412
282,396
283,434
284,429
285,388
286,399
287,393
288,441
289,406
290,400
291,427
292,377
293,410
294,415
295,434
296,414
297,385
298,427
299,415
300,405
