time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type
0,10,100.0,0,99.89288,1,CLUSTER_HEAD,99.55972,1,REGULAR,99.88284,1,CLUSTER_HEAD,99.51964,1,REGULAR,99.4998,1,REGULAR,99.47976,1,REGULAR,99.89786000000001,1,CLUSTER_HEAD,99.57968,1,REGULAR,99.88782,1,CLUSTER_HEAD,99.5398,1,REGULAR
1,10,100.0,0,99.78575996626667,1,CLUSTER_HEAD,99.44957999953333,1,REGULAR,99.76567996613333,1,CLUSTER_HEAD,99.3994599994,1,REGULAR,99.37469999966666,1,REGULAR,99.3496399996,1,REGULAR,99.79571996620001,1,CLUSTER_HEAD,99.47451999946666,1,REGULAR,99.77563996606668,1,CLUSTER_HEAD,99.42469999966667,1,REGULAR
2,10,100.0,0,99.6786398988,1,CLUSTER_HEAD,99.3394399986,1,REGULAR,99.6485198984,1,CLUSTER_HEAD,99.2792799982,1,REGULAR,99.249599999,1,REGULAR,99.2195199988,1,REGULAR,99.6935798986,1,CLUSTER_HEAD,99.3693599984,1,REGULAR,99.6634598982,1,CLUSTER_HEAD,99.309599999,1,REGULAR
3,10,100.0,0,99.57151979759999,1,CLUSTER_HEAD,99.2292999972,1,REGULAR,99.53135979679999,1,CLUSTER_HEAD,99.1590999964,1,REGULAR,99.12449999799999,1,REGULAR,99.0893999976,1,REGULAR,99.5914397972,1,CLUSTER_HEAD,99.2641999968,1,REGULAR,99.5512797964,1,CLUSTER_HEAD,99.194499998,1,REGULAR
4,10,100.0,0,99.46439966266665,1,CLUSTER_HEAD,99.11915999533333,1,REGULAR,99.41419966133331,1,CLUSTER_HEAD,99.038919994,1,REGULAR,98.99939999666665,1,REGULAR,98.95927999599999,1,REGULAR,99.489299662,1,CLUSTER_HEAD,99.15903999466667,1,REGULAR,99.43909966066666,1,CLUSTER_HEAD,99.07939999666667,1,REGULAR
5,10,100.0,0,99.35727949399998,1,CLUSTER_HEAD,99.009019993,1,REGULAR,99.29703949199998,1,CLUSTER_HEAD,98.918739991,1,REGULAR,98.87429999499999,1,REGULAR,98.829159994,1,REGULAR,99.387159493,1,CLUSTER_HEAD,99.053879992,1,REGULAR,99.326919491,1,CLUSTER_HEAD,98.964299995,1,REGULAR
6,10,100.0,0,99.25015929159999,1,CLUSTER_HEAD,98.8988799902,1,REGULAR,99.17987928879998,1,CLUSTER_HEAD,98.7985599874,1,REGULAR,98.81179499489998,1,REGULAR,98.69903999159999,1,REGULAR,99.2850192902,1,CLUSTER_HEAD,98.94871998880001,1,REGULAR,99.2147392874,1,CLUSTER_HEAD,98.90679499490001,1,REGULAR
7,10,100.0,0,99.19565305812665,1,CLUSTER_HEAD,98.78873998693334,1,REGULAR,99.06271905173331,1,CLUSTER_HEAD,98.6783799832,1,REGULAR,98.74928999478331,1,REGULAR,98.63403399145999,1,REGULAR,99.18287905359999,1,CLUSTER_HEAD,98.84355998506668,1,REGULAR,99.10255904986666,1,CLUSTER_HEAD,98.84928999478335,1,REGULAR
8,10,100.0,0,99.14114679129999,1,CLUSTER_HEAD,98.73373298674667,1,REGULAR,98.94555878079997,1,CLUSTER_HEAD,98.5581999784,1,REGULAR,98.68678499464998,1,REGULAR,98.56902799129999,1,REGULAR,99.13087178674665,1,CLUSTER_HEAD,98.73839998080001,1,REGULAR,98.99037877839999,1,CLUSTER_HEAD,98.79178499465002,1,REGULAR
9,10,100.0,0,99.08664049111998,1,CLUSTER_HEAD,98.67872598653668,1,REGULAR,98.88605048055996,1,CLUSTER_HEAD,98.438019973,1,REGULAR,98.62427999449999,1,REGULAR,98.50402199111998,1,REGULAR,99.07886448653665,1,CLUSTER_HEAD,98.68589198056002,1,REGULAR,98.87819847299998,1,CLUSTER_HEAD,98.73427999450001,1,REGULAR
10,10,100.0,0,99.03213415758665,1,CLUSTER_HEAD,98.62371898630334,1,REGULAR,98.82654214695997,1,CLUSTER_HEAD,98.3780109727,1,REGULAR,98.56177499433332,1,REGULAR,98.43901599091998,1,REGULAR,99.02685715296998,1,CLUSTER_HEAD,98.63338398029335,1,REGULAR,98.82118913936665,1,CLUSTER_HEAD,98.67677499433334,1,REGULAR
11,10,100.0,0,98.97762779069998,1,CLUSTER_HEAD,98.56871198604668,1,REGULAR,98.76703377999996,1,CLUSTER_HEAD,98.31800197237,1,REGULAR,98.49926999414998,1,REGULAR,98.37400999069999,1,REGULAR,98.97484978604665,1,CLUSTER_HEAD,98.58087598000002,1,REGULAR,98.76417977236999,1,CLUSTER_HEAD,98.61926999415,1,REGULAR
12,10,100.0,0,98.92312139045998,1,CLUSTER_HEAD,98.51370498576668,1,REGULAR,98.70752537967996,1,CLUSTER_HEAD,98.25799297201,1,REGULAR,98.43676499394998,1,REGULAR,98.30900399045998,1,REGULAR,98.92284238576664,1,CLUSTER_HEAD,98.52836797968001,1,REGULAR,98.70717037200998,1,CLUSTER_HEAD,98.56176499395,1,REGULAR
13,10,100.0,0,98.86861495686665,1,CLUSTER_HEAD,98.45869798546335,1,REGULAR,98.64801694599996,1,CLUSTER_HEAD,98.19798397162,1,REGULAR,98.37425999373332,1,REGULAR,98.24399799019999,1,REGULAR,98.87083495212997,1,CLUSTER_HEAD,98.47585997933335,1,REGULAR,98.65016093828665,1,CLUSTER_HEAD,98.50425999373334,1,REGULAR
14,10,100.0,0,98.81410848991997,1,CLUSTER_HEAD,98.40369098513668,1,REGULAR,98.58850847895995,1,CLUSTER_HEAD,98.13797497120001,1,REGULAR,98.31175499349999,1,REGULAR,98.17899198992,1,REGULAR,98.81882748513662,1,CLUSTER_HEAD,98.42335197896001,1,REGULAR,98.59315147119997,1,CLUSTER_HEAD,98.44675499350001,1,REGULAR
15,10,100.0,0,98.75960198961998,1,CLUSTER_HEAD,98.34868398478667,1,REGULAR,98.52899997855995,1,CLUSTER_HEAD,98.07796597075001,1,REGULAR,98.24924999324999,1,REGULAR,98.11398598961999,1,REGULAR,98.76681998478662,1,CLUSTER_HEAD,98.37084397856002,1,REGULAR,98.53614197074998,1,CLUSTER_HEAD,98.38924999325,1,REGULAR
16,10,100.0,0,98.70509545596666,1,CLUSTER_HEAD,98.29367698441334,1,REGULAR,98.46949144479996,1,CLUSTER_HEAD,98.01795697027002,1,REGULAR,98.18674499298332,1,REGULAR,98.0489799893,1,REGULAR,98.71481245107996,1,CLUSTER_HEAD,98.31833597813335,1,REGULAR,98.47913243693665,1,CLUSTER_HEAD,98.33174499298333,1,REGULAR
